Method,Scale,Image,PSNR,SSIM,FSIM,Time(s)
Fixed k,4,baby,23.3679,0.7703,0.8926,0.3109
Fixed k,4,barbara,18.6082,0.5860,0.7905,0.8442
Fixed k,4,bird,22.0060,0.7527,0.8299,0.2166
Fixed k,4,bridge,18.3571,0.4750,0.7855,2.6790
Fixed k,4,butterfly,14.2334,0.5307,0.6125,0.2453
Fixed k,4,coastguard,18.8605,0.3999,0.7118,1.2809
Fixed k,4,face,25.1555,0.6465,0.8476,0.1201
Fixed k,4,flowers,19.2839,0.6117,0.7337,0.8155
Fixed k,4,foreman,20.2070,0.7336,0.8072,0.3749
Fixed k,4,head,25.0538,0.6472,0.8467,0.1112
Fixed k,4,lenna,22.4851,0.7138,0.8625,1.3663
Fixed k,4,man,19.3932,0.5579,0.8129,1.6888
Fixed k,4,monarch,20.3487,0.7994,0.8379,1.4655
Fixed k,4,pepper,21.7566,0.7152,0.8676,0.5852
Fixed k,4,ppt3,16.6192,0.7550,0.7793,0.5128
Fixed k,4,woman,17.7327,0.6867,0.7822,0.1787
Fixed k,4,zebra,17.9291,0.5796,0.8006,0.6177
Fixed k,2,baby,26.8877,0.9211,0.9706,0.4732
Fixed k,2,barbara,22.3440,0.8012,0.9510,1.4732
Fixed k,2,bird,27.3385,0.9326,0.9313,0.4855
Fixed k,2,bridge,22.6567,0.7777,0.9468,2.4381
Fixed k,2,butterfly,19.4513,0.8071,0.7632,1.3605
Fixed k,2,coastguard,24.0564,0.7627,0.8442,0.4097
Fixed k,2,face,28.5440,0.8390,0.9117,0.1923
Fixed k,2,flowers,24.5308,0.8592,0.8723,0.6166
Fixed k,2,foreman,23.9903,0.9018,0.9025,0.4120
Fixed k,2,head,28.5738,0.8362,0.9117,0.1890
Fixed k,2,lenna,26.1960,0.8895,0.9689,0.9032
Fixed k,2,man,24.0751,0.8089,0.9561,2.0193
Fixed k,2,monarch,25.1440,0.9209,0.9597,2.1257
Fixed k,2,pepper,25.8461,0.8569,0.9695,0.3977
Fixed k,2,ppt3,23.0679,0.9188,0.9490,0.5333
Fixed k,2,woman,22.3725,0.8981,0.8954,0.1981
Fixed k,2,zebra,22.9414,0.8632,0.9439,0.7832
Cuckoo Search,4,baby,20.2492,0.7266,0.8534,0.6308
Cuckoo Search,4,barbara,16.2308,0.5283,0.7283,2.4091
Cuckoo Search,4,bird,19.1938,0.6836,0.7822,0.2898
Cuckoo Search,4,bridge,16.1668,0.4243,0.7825,2.5307
Cuckoo Search,4,butterfly,12.8312,0.4796,0.5776,0.6827
Cuckoo Search,4,coastguard,16.6878,0.3552,0.6870,0.4920
Cuckoo Search,4,face,22.2715,0.5970,0.8187,0.2289
Cuckoo Search,4,flowers,17.4036,0.5333,0.6877,2.0443
Cuckoo Search,4,foreman,17.9049,0.7005,0.7683,0.5626
Cuckoo Search,4,head,22.1428,0.5967,0.8166,0.2184
Cuckoo Search,4,lenna,19.2968,0.6592,0.8126,0.8820
Cuckoo Search,4,man,17.8915,0.5824,0.7615,2.0439
Cuckoo Search,4,monarch,18.1920,0.7559,0.7945,1.7881
Cuckoo Search,4,pepper,19.9827,0.6589,0.8262,0.5284
Cuckoo Search,4,ppt3,15.6927,0.7386,0.7538,0.6885
Cuckoo Search,4,woman,15.6325,0.6287,0.7290,0.2459
Cuckoo Search,4,zebra,15.6302,0.5191,0.7541,0.7964
Cuckoo Search,2,baby,22.6045,0.8852,0.9444,1.9854
Cuckoo Search,2,barbara,19.2684,0.7545,0.9154,2.2138
Cuckoo Search,2,bird,23.0747,0.8870,0.8943,0.5579
Cuckoo Search,2,bridge,19.6993,0.7262,0.9043,3.5086
Cuckoo Search,2,butterfly,17.0140,0.7535,0.7038,0.3494
Cuckoo Search,2,coastguard,20.5428,0.7988,0.8874,1.8760
Cuckoo Search,2,face,24.6274,0.7981,0.8776,0.4086
Cuckoo Search,2,flowers,21.5896,0.8077,0.8234,2.0782
Cuckoo Search,2,foreman,20.3838,0.8665,0.8668,0.3775
Cuckoo Search,2,head,24.6280,0.7901,0.8777,0.5043
Cuckoo Search,2,lenna,21.7876,0.8271,0.9426,0.9013
Cuckoo Search,2,man,20.8515,0.7697,0.9235,1.1889
Cuckoo Search,2,monarch,21.5148,0.8846,0.9348,1.8900
Cuckoo Search,2,pepper,21.4968,0.8164,0.9486,1.3267
Cuckoo Search,2,ppt3,20.8737,0.8947,0.9262,1.5741
Cuckoo Search,2,woman,19.0557,0.8463,0.8570,0.6794
Cuckoo Search,2,zebra,19.1440,0.8004,0.9088,2.2625
